Time,Channel 1,Channel 2,Channel 3,Channel 4
23914,37,197,69,-106
1954,37,197,69,-106
1341,37,197,69,-106
1336,37,197,69,-106
1339,37,197,69,-106
1337,37,197,69,-106
1334,37,197,69,-106
1344,38,197,69,-106
1337,37,197,69,-106
1449,38,197,69,-106
1336,38,197,70,-106
1337,38,197,69,-106
1338,38,197,69,-106
1343,38,197,69,-106
1338,38,197,69,-106
1339,37,197,69,-106
1336,37,197,69,-105
1345,37,197,69,-104
1336,37,197,69,-104
1343,37,197,69,-105
1342,37,197,70,-105
1339,37,197,69,-105
1336,37,197,70,-105
1340,37,197,70,-105
1338,37,197,70,-105
1355,37,197,70,-105
1347,37,197,69,-105
1337,38,197,69,-105
1338,37,197,69,-104
1335,37,197,69,-104
1337,37,197,69,-104
1337,37,197,69,-104
1345,38,197,69,-104
1340,37,197,69,-104
1336,38,197,69,-105
1339,38,197,69,-105
1336,37,197,69,-105
1341,38,197,69,-105
1339,38,197,69,-105
1345,38,197,69,-105
1340,38,197,69,-105
1415,38,197,69,-105
1336,38,197,69,-105
1337,38,197,69,-105
1336,38,197,69,-106
1343,38,197,69,-105
1338,38,197,69,-106
1338,38,197,69,-105
1337,38,197,69,-106
1345,38,197,69,-105
1337,38,197,69,-106
1335,38,197,69,-106
1342,37,197,69,-104
1338,37,197,69,-104
1337,37,197,69,-104
1336,37,197,70,-104
1339,37,197,69,-104
1346,37,197,70,-105
1344,37,197,70,-105
1338,37,197,69,-105
1338,37,197,69,-105
1339,37,197,69,-105
1337,37,198,69,-105
1338,37,197,69,-105
1335,37,197,69,-105
1364,37,197,69,-105
1332,37,197,69,-105
1339,37,197,69,-105
1334,37,197,69,-105
1337,37,197,70,-105
1338,37,197,69,-105
1345,37,198,69,-105
1339,37,197,69,-104
1343,37,197,69,-104
1337,37,197,69,-104
1339,37,197,69,-104
1342,37,197,69,-104
1337,37,197,69,-104
1340,37,197,69,-104
1338,37,197,70,-104
1339,37,197,70,-104
1384,37,197,70,-104
1340,37,197,70,-104
1338,37,198,70,-104
1345,37,197,70,-105
1338,37,197,69,-105
1338,37,198,69,-105
1336,37,197,69,-105
1339,37,197,69,-105
1345,37,197,69,-105
1339,37,197,69,-105
1344,37,197,69,-105
1338,37,197,69,-105
1336,37,197,69,-105
1339,37,197,69,-105
1339,37,197,69,-105
1337,37,197,70,-105
1361,37,197,69,-105
1339,37,198,69,-105
1339,37,197,70,-105
1337,37,197,70,-105
1339,37,197,69,-105
1337,37,197,69,-105
1337,37,197,69,-106
1343,37,197,69,-105
1346,37,198,69,-106
1337,37,197,69,-105
1337,37,197,69,-106
1339,37,197,69,-106
1339,37,198,69,-106
1343,37,197,69,-106
1337,37,197,69,-106
1338,37,197,69,-106
1349,37,197,69,-106
1338,37,198,69,-106
1340,37,197,69,-106
1337,37,197,69,-106
1344,37,198,69,-106
1339,37,197,69,-106
1335,37,197,69,-106
1339,37,197,69,-106
1375,37,197,69,-106
1337,37,197,69,-106
1344,37,197,69,-106
1340,37,197,69,-106
1339,37,197,69,-106
1337,37,198,69,-106
1339,37,197,69,-106
1338,37,197,69,-106
1345,37,197,69,-106
1345,37,197,69,-106
1341,37,197,69,-106
1339,37,197,69,-106
1337,37,198,69,-106
1337,37,198,69,-106
1340,37,197,69,-106
1337,37,198,69,-106
1363,37,197,69,-106
1339,37,197,69,-106
1339,37,197,69,-106
1338,37,197,69,-106
1338,37,198,69,-106
1338,37,197,69,-106
1347,37,197,69,-106
1340,37,198,69,-106
1344,37,197,69,-106
1340,37,197,69,-106
1340,37,197,69,-106
1338,37,198,69,-106
1347,37,198,69,-106
1343,37,197,69,-106
1338,37,198,69,-105
1336,37,197,69,-106
1384,37,198,69,-106
1336,37,197,69,-106
1338,37,197,69,-106
1345,37,198,69,-106
1339,37,197,69,-106
1338,37,197,69,-106
1339,37,197,69,-106
1338,37,197,69,-106
1346,37,197,69,-106
1345,37,197,69,-106
1338,37,198,69,-106
1338,37,197,69,-106
1340,37,197,69,-106
1338,37,197,69,-106
1337,37,197,69,-106
1339,37,197,69,-105
1354,37,197,69,-106
1339,37,197,69,-106
1339,37,197,69,-106
1336,37,197,69,-106
1339,37,197,69,-106
1338,37,198,69,-106
1344,37,197,69,-106
1339,37,197,69,-106
1359,37,197,69,-106
1337,37,198,69,-106
1340,37,197,69,-106
1339,37,197,69,-106
1338,37,198,69,-106
1342,37,197,69,-106
1340,37,198,69,-106
1338,37,197,69,-106
1346,37,198,69,-105
1338,37,197,69,-106
1342,37,197,69,-106
1342,37,198,69,-106
1340,37,197,69,-106
1338,37,197,69,-106
1340,37,197,69,-106
1339,37,198,69,-106
1357,37,197,69,-106
1337,37,197,69,-106
1347,37,197,69,-106
1339,37,197,69,-106
1337,37,198,69,-106
1339,37,197,69,-106
1336,37,197,69,-106
1338,37,198,69,-106
1375,37,197,69,-106
1339,37,197,69,-106
1339,37,197,69,-106
1340,37,198,70,-106
1338,37,197,69,-106
1343,37,197,70,-106
1338,37,197,69,-106
1341,37,197,70,-105
1357,37,197,70,-106
1337,37,197,69,-106
1339,37,198,70,-106
1339,37,197,70,-106
1337,37,197,70,-106
1344,37,197,69,-106
1337,37,198,70,-105
1337,37,197,70,-105
1344,37,197,69,-105
1336,37,198,70,-105
1337,37,197,70,-105
1339,37,197,70,-105
1345,37,197,70,-105
1338,37,197,70,-105
1337,37,197,70,-105
1336,37,197,70,-105
1350,37,198,69,-105
1337,37,197,70,-100
1339,37,198,70,-66
1345,37,197,69,-40
1337,37,197,70,3
1338,37,197,69,23
1336,37,197,70,61
1340,37,197,69,75
1384,37,197,69,87
1342,37,197,69,124
1335,37,197,69,147
1338,37,197,69,178
1337,37,198,69,250
1333,37,197,69,254
1336,37,197,69,264
1333,37,197,69,273
1346,37,197,69,297
1337,37,197,69,314
1339,37,197,69,308
1335,37,197,69,336
1338,37,197,69,331
1339,37,197,69,340
1343,37,197,69,319
1336,37,197,69,309
1357,37,197,69,317
1338,37,197,70,302
1338,37,197,69,311
1336,37,197,69,274
1337,37,197,70,264
1339,37,197,69,229
1334,37,197,70,223
1334,37,197,70,223
1340,37,197,70,194
1338,37,197,70,159
1337,37,197,69,152
1346,37,197,69,136
1341,38,197,69,132
1342,38,197,69,122
1340,38,197,69,101
1339,38,197,69,92
1357,38,197,69,94
1337,38,197,69,86
1346,38,198,69,90
1340,38,197,69,87
1338,38,197,69,87
1336,38,197,69,93
1336,38,197,69,101
1338,38,197,69,98
1352,38,197,69,93
1337,38,197,69,103
1340,38,197,69,100
1337,38,197,69,105
1337,38,197,70,105
1338,38,197,70,101
1338,38,197,70,95
1347,38,197,70,96
1371,38,197,70,90
1336,37,197,70,89
1335,37,197,70,93
1338,37,197,70,93
1337,37,197,70,96
1344,37,197,70,91
1337,38,198,70,86
1338,38,197,70,70
1357,38,197,71,71
1339,38,197,71,65
1338,38,197,71,67
1339,38,197,71,64
1340,38,197,70,56
1338,38,197,70,50
1340,38,197,71,44
1338,38,197,77,38
1345,38,197,77,34
1338,38,197,80,37
1349,37,197,83,40
1340,37,197,85,28
1339,37,197,86,28
1336,38,197,88,25
1340,37,197,89,15
1339,38,197,90,15
1387,37,197,90,4
1338,37,197,89,-36
1336,37,197,89,-35
1335,37,197,90,-34
1337,37,197,91,-37
1336,37,197,90,-49
1339,37,197,90,-59
1346,37,197,90,-64
1344,37,197,91,-67
1338,38,197,91,-64
1336,37,198,91,-65
1337,37,197,92,-69
1337,37,197,92,-68
1340,37,197,92,-95
1344,37,197,91,-105
1337,37,197,94,-105
1357,37,197,91,-105
1338,37,197,104,-105
1335,37,197,103,-105
1339,37,198,103,-105
1344,37,197,102,-105
1338,37,197,101,-105
1338,37,197,100,-105
1339,37,197,101,-105
1344,37,197,102,-105
1336,37,197,102,-104
1338,37,197,104,-104
1344,37,198,109,-104
1339,37,199,110,-103
1339,37,200,109,-103
1340,37,200,107,-103
1338,37,201,112,-103
1347,37,200,112,-103
1339,37,200,111,-103
1344,37,201,111,-103
1336,37,199,111,-103
1339,37,199,110,-104
1338,37,199,109,-104
1338,37,200,111,-103
1337,37,200,111,-104
1363,37,200,110,-104
1338,37,202,110,-104
1337,37,206,112,-104
1336,37,208,110,-105
1338,37,212,110,-105
1337,37,212,112,-104
1335,37,218,113,-105
1341,37,216,113,-105
1342,37,223,114,-105
1337,37,222,116,-105
1338,37,224,118,-105
1336,37,226,120,-105
1337,37,226,118,-105
1344,37,227,118,-105
1335,37,228,116,-105
1339,37,229,115,-106
1373,37,226,116,-105
1338,37,225,118,-105
1339,37,226,120,-105
1336,37,229,121,-105
1343,37,237,122,-105
1339,37,237,123,-105
1338,37,240,121,-106
1336,37,238,121,-105
