Time,Channel 1,Channel 2,Channel 3,Channel 4
9402,37,214,101,-106
1939,37,210,101,-105
1341,38,218,103,-105
1337,37,226,104,-103
1340,37,227,104,-104
1349,37,231,103,-104
1339,37,232,104,-105
1345,37,232,107,-105
1339,38,228,107,-105
1338,37,236,107,-104
1341,37,244,107,-105
1340,37,247,107,-106
1343,37,244,107,-106
1457,38,280,110,-106
1338,37,286,112,-104
1337,37,293,111,-105
1340,37,299,110,-105
1341,37,299,110,-106
1338,37,299,110,-106
1347,37,296,113,-105
1339,37,304,111,-105
1345,37,306,109,-106
1338,37,309,109,-105
1339,37,309,110,-106
1341,38,317,109,-105
1348,38,321,109,-104
1340,37,326,110,-104
1339,37,327,110,-105
1342,37,321,110,-106
1344,37,316,111,-106
1338,38,310,112,-106
1340,37,321,112,-103
1346,37,307,109,-104
1337,37,324,107,-105
1338,37,359,106,-106
1338,37,365,108,-106
1340,38,390,109,-105
1354,38,352,108,-104
1344,37,360,110,-104
1338,37,358,112,-105
1338,37,366,110,-106
1339,38,371,111,-105
1339,38,361,109,-105
1338,38,377,109,-104
1339,37,397,109,-104
1351,37,407,111,-104
1337,37,395,111,-105
1337,37,413,108,-105
1340,38,386,105,-105
1341,38,390,109,-104
1338,37,397,112,-104
1343,37,435,107,-105
1336,37,443,109,-106
1415,37,452,108,-106
1338,38,463,104,-105
1336,37,448,103,-104
1336,37,457,102,-105
1339,37,458,102,-105
1345,37,442,104,-106
1336,37,453,102,-106
1337,38,447,101,-105
1347,37,455,109,-104
1337,37,469,106,-105
1335,37,481,105,-106
1348,37,481,104,-106
1337,38,479,105,-105
1338,38,508,105,-104
1338,37,488,106,-105
1342,37,481,107,-105
1361,37,499,109,-105
1336,37,501,108,-105
1345,37,527,103,-105
1339,37,523,103,-104
1338,37,514,104,-105
1338,37,519,106,-106
1339,37,540,105,-106
1339,38,507,106,-105
1352,37,507,105,-104
1337,37,534,101,-105
1340,37,542,102,-106
1339,37,530,101,-105
1339,37,521,101,-105
1339,38,515,99,-105
1339,38,532,100,-104
1346,37,537,93,-103
1346,37,504,95,-105
1336,37,499,96,-106
1343,37,499,95,-106
1339,37,495,92,-106
1338,38,524,91,-105
1344,37,509,91,-104
1340,37,531,90,-105
1338,37,548,89,-106
1383,38,530,85,-105
1338,38,511,83,-105
1337,38,513,84,-104
1342,37,517,83,-103
1337,37,504,83,-105
1336,37,507,84,-106
1338,37,505,77,-106
1338,38,497,75,-105
1345,38,514,73,-104
1334,37,506,75,-105
1342,37,515,73,-106
1332,37,501,72,-106
1336,38,503,73,-106
1342,38,482,72,-105
1338,37,491,72,-104
1340,37,491,72,-105
1362,37,486,72,-105
1337,37,469,73,-105
1338,38,446,74,-104
1336,37,453,73,-103
1339,37,444,74,-105
1338,37,426,73,-106
1334,37,430,74,-106
1343,38,437,73,-106
1344,37,429,74,-104
1335,37,429,71,-105
1335,37,410,70,-106
1338,37,394,70,-106
1339,37,396,70,-106
1336,37,384,69,-106
1345,37,402,69,-105
1342,37,395,69,-105
1356,37,372,69,-105
1338,37,364,69,-106
1341,37,360,69,-105
1338,38,356,69,-105
1342,37,370,69,-104
1339,37,364,69,-105
1336,38,357,69,-104
1338,37,323,69,-104
1371,37,308,69,-105
1339,38,289,69,-104
1343,37,269,70,-105
1338,37,261,70,-105
1337,37,251,69,-106
1338,38,236,69,-106
1338,38,212,69,-106
1337,38,210,69,-104
1343,37,211,69,-105
1343,37,207,69,-106
1342,37,207,69,-106
1339,38,204,69,-105
1337,38,202,69,-104
1336,37,201,69,-105
1336,37,200,69,-105
1335,37,199,69,-105
1365,37,198,69,-104
1339,38,198,69,-103
1339,37,197,69,-105
1339,38,198,70,-106
1339,37,197,70,-106
1333,37,197,70,-106
1344,38,197,69,-105
1337,38,197,69,-104
1343,37,197,70,-106
