Time,Channel 1,Channel 2,Channel 3,Channel 4
42606,40,123,70,-104
1978,41,123,70,-103
1343,40,123,70,-104
1339,42,123,70,-103
1338,43,123,70,-104
1340,40,123,70,-104
1355,41,123,70,-103
1337,40,123,70,-103
1343,43,123,70,-103
1337,41,123,70,-103
1338,40,123,69,-104
1339,43,123,70,-101
1338,42,123,69,-102
1341,41,123,69,-104
1336,41,123,70,-103
1337,42,123,70,-104
1344,49,124,70,-100
1340,50,123,70,-101
1338,48,124,71,-99
1345,49,124,70,-104
1337,43,123,70,-102
1340,44,123,70,-103
1337,43,123,70,-103
1336,44,123,70,-102
1378,46,123,70,-101
1339,46,123,70,-102
1342,45,123,70,-102
1340,45,123,70,-101
1336,44,123,70,-99
1335,44,123,70,-100
1341,45,123,70,-100
1336,43,123,70,-100
1411,44,123,70,-100
1338,43,123,70,-100
1339,45,123,70,-100
1340,42,123,70,-101
1337,44,123,70,-101
1337,43,123,70,-102
1345,43,123,70,-103
1339,42,123,70,-103
1360,43,123,70,-103
1338,44,123,70,-103
1338,42,123,70,-103
1341,41,123,70,-104
1338,40,123,70,-104
1344,43,123,70,-103
1341,42,123,70,-103
1339,42,123,70,-103
1345,41,123,70,-103
1336,43,123,70,-103
1335,44,123,70,-102
1343,44,123,70,-103
1338,43,123,70,-103
1338,56,124,71,-96
1342,54,124,70,-97
1339,44,123,70,-103
1401,42,123,70,-102
1337,42,123,70,-101
1346,41,123,69,-101
1336,43,123,69,-101
1338,43,123,70,-102
1335,43,123,70,-101
1340,41,123,69,-102
1342,42,123,70,-102
1349,44,123,70,-102
1339,44,123,70,-102
1339,43,123,70,-101
1338,44,123,70,-102
1339,44,123,70,-103
1337,45,123,70,-101
1337,46,123,70,-102
1344,43,123,70,-103
1349,44,123,70,-102
1335,45,123,70,-102
1336,44,123,70,-102
1339,44,123,70,-100
1335,43,123,70,-89
1347,44,123,70,-75
1337,43,123,70,-60
1337,45,123,70,-51
1358,43,123,70,-23
1340,43,123,70,22
1338,43,123,70,56
1339,42,123,70,131
1344,46,123,70,176
1339,44,123,70,194
1336,43,123,70,240
1336,43,123,70,288
1345,44,123,70,291
1336,45,123,70,301
1344,44,123,70,348
1341,44,123,70,399
1334,44,123,70,399
1338,45,123,70,395
1338,46,123,70,415
1338,43,123,70,451
1364,44,123,70,461
1338,44,123,70,462
1335,45,123,70,454
1337,45,123,70,451
1339,44,123,70,460
1338,44,123,70,464
1338,44,123,70,504
1342,45,123,70,464
1346,64,125,71,492
1338,63,125,71,471
1343,45,124,70,466
1338,43,123,70,469
1339,44,123,70,484
1339,45,123,70,489
1345,44,123,70,469
1336,43,123,70,474
1372,44,123,70,460
1338,46,123,70,455
1339,45,123,70,458
1337,44,123,70,457
1340,44,123,70,476
1334,45,123,70,445
1337,46,123,70,453
1339,44,123,70,482
1346,43,123,70,487
1338,43,123,70,462
1344,44,123,70,478
1341,45,123,70,466
1339,45,123,70,489
1338,44,123,70,531
1336,44,123,70,560
1337,43,123,70,566
1349,45,123,70,599
1343,44,123,70,578
1337,43,123,70,568
1336,43,123,70,558
1338,44,123,70,528
1336,44,123,70,573
1339,45,123,70,584
1338,43,123,70,575
1392,43,123,70,560
1339,44,123,70,566
1336,45,123,70,584
1336,44,123,70,555
1338,43,123,70,582
1339,44,123,70,578
1344,43,123,70,608
1336,44,123,70,623
1345,44,123,70,608
1336,43,123,70,598
1336,44,123,70,612
1342,43,123,70,620
1347,42,123,70,623
1333,44,123,70,636
1338,43,123,70,625
1340,42,123,70,615
1354,42,123,70,584
1338,42,123,70,597
1336,44,123,70,645
1344,56,124,70,669
1337,57,124,70,655
1337,44,124,70,644
1338,42,123,70,662
1339,43,123,70,617
1344,44,123,70,657
1341,42,123,70,667
1337,43,123,70,689
1342,42,123,70,657
1336,42,123,70,674
1339,43,123,70,656
1340,45,123,70,657
1334,42,123,70,683
1366,42,123,70,665
1337,42,123,70,664
1336,43,123,70,683
1337,43,123,70,645
1333,43,123,70,626
1338,42,123,70,646
1344,42,123,70,646
1340,43,123,70,638
1344,44,123,70,647
1337,42,123,70,663
1338,42,123,70,658
1336,42,123,70,642
1337,42,123,70,640
1343,43,123,70,666
1337,42,123,70,657
1334,42,123,70,662
1349,42,123,70,678
1336,42,123,70,632
1336,43,123,70,642
1344,44,123,70,673
1337,42,123,70,664
1336,42,123,70,651
1337,42,123,70,641
1339,42,123,70,620
1374,44,123,70,655
1336,42,123,70,681
1346,42,123,70,650
1335,42,123,70,631
1340,43,123,70,617
1338,43,123,70,607
1340,43,123,70,609
1336,42,123,70,617
1350,42,123,70,605
1338,43,123,70,620
1334,44,123,70,591
1340,43,123,70,583
1337,42,123,70,615
1339,43,123,70,594
1338,43,123,70,579
1339,58,124,70,573
1477,46,123,70,587
1337,43,123,70,573
1339,42,123,70,532
1340,53,123,70,501
1336,87,123,70,525
1343,159,123,70,523
1331,177,123,70,537
1337,180,123,70,542
1342,184,123,70,546
1337,192,123,70,537
1341,206,123,70,521
1343,216,123,70,515
1338,218,123,70,524
1338,221,123,70,513
1339,228,123,70,497
1338,233,123,70,476
1357,220,123,70,458
1338,224,123,70,453
1345,243,123,70,450
1339,252,123,70,444
1337,255,123,70,436
1335,262,123,70,435
1337,261,123,70,453
1336,267,123,70,454
1352,265,123,70,450
1338,273,123,70,430
1337,289,123,70,411
1338,255,123,70,411
1334,246,123,70,426
1338,242,123,70,434
1337,241,123,69,393
1344,258,123,70,397
1346,253,123,70,398
1337,255,123,70,385
1334,249,123,70,388
1335,246,123,69,382
1338,250,123,70,378
1343,241,123,70,359
1337,251,123,70,355
1333,249,123,70,360
1358,272,123,69,346
1336,292,123,70,326
1335,289,123,70,320
1335,285,123,70,324
1340,272,123,69,321
1337,254,123,69,326
1338,247,123,69,328
1338,251,123,70,311
1344,247,123,69,291
1338,249,123,70,291
1346,260,123,70,281
1338,307,123,70,294
1336,321,123,70,283
1336,337,123,69,264
1338,319,123,69,266
1338,322,123,69,238
1355,326,123,70,203
1344,322,123,70,198
1339,306,123,69,195
1339,295,123,70,212
1338,292,123,70,188
1339,296,123,70,174
1338,288,123,69,176
1342,286,123,69,183
1367,295,123,69,183
1338,305,123,69,187
1340,300,123,69,170
1336,303,123,69,156
1338,310,123,69,174
1338,313,123,69,138
1349,303,123,69,136
1337,323,123,69,153
1384,341,123,69,161
1336,341,123,69,164
1338,343,123,69,161
1338,346,123,69,154
1342,352,123,69,139
1340,347,123,69,131
1340,355,123,69,141
1338,352,123,69,137
1346,351,123,69,139
1341,337,123,69,120
1340,344,123,70,109
1344,381,123,69,134
1339,385,123,69,114
1340,401,123,69,115
1340,401,123,70,125
1337,400,123,70,107
1349,397,123,70,112
1346,400,123,70,117
1338,406,123,70,104
1338,389,123,70,108
1338,389,123,70,115
1340,408,123,69,107
1339,401,123,69,104
1339,408,123,69,108
1367,389,123,69,96
1338,396,123,69,101
1340,416,123,69,110
1336,424,123,69,97
1337,416,123,69,103
1337,413,123,70,84
1345,423,123,70,84
1337,414,123,69,80
1345,389,123,69,76
1338,413,123,69,74
1337,408,123,69,72
1342,405,123,69,70
1343,409,123,70,74
1340,403,123,69,72
1341,400,123,69,78
1337,416,123,69,76
1361,421,123,70,73
1339,431,123,70,46
1339,447,123,70,26
1347,444,123,70,34
1340,458,123,70,38
1341,462,123,70,27
1342,470,123,70,23
1338,495,123,70,19
1348,486,123,70,12
1345,497,123,70,9
1338,499,123,69,9
1340,482,123,69,19
1342,490,123,69,26
1340,487,123,69,16
1340,501,123,69,15
1338,508,123,69,14
1359,518,122,69,0
1338,522,123,69,7
1339,496,123,69,2
1332,508,123,69,-17
1339,546,123,69,-16
1340,558,123,69,-26
1343,540,123,69,-19
1336,562,123,69,-21
1346,480,123,69,-26
1337,523,123,69,-36
1342,560,123,69,-24
1340,539,123,69,-31
1336,575,123,69,-25
1342,538,123,69,-33
1335,556,123,69,-39
1336,523,123,69,-36
1372,508,123,69,-34
1340,542,123,69,-38
1338,510,123,69,-40
1346,484,123,69,-39
1338,478,123,69,-41
1336,472,123,69,-43
1336,472,123,69,-38
1337,488,123,69,-40
1383,500,123,70,-64
1345,503,123,70,-65
1337,500,123,69,-68
1339,482,123,69,-82
1340,461,123,69,-80
1335,505,123,69,-81
1339,510,123,69,-82
1339,507,123,69,-84
1351,545,123,69,-84
1338,578,123,69,-82
1340,553,123,70,-87
1339,584,123,69,-90
1338,607,123,70,-86
1341,619,123,70,-82
1343,637,123,70,-85
1336,588,123,70,-92
1356,621,123,70,-91
1338,673,123,70,-96
1337,674,123,70,-99
1337,676,123,70,-97
1338,664,123,70,-100
1345,679,123,70,-102
1336,655,123,70,-104
1335,652,123,70,-104
1343,604,123,70,-104
1338,608,123,70,-104
1336,627,123,69,-103
1343,602,123,69,-102
1336,604,123,69,-102
1340,652,123,69,-102
1339,626,123,69,-101
1338,606,123,69,-102
1358,661,123,69,-102
1337,618,123,69,-102
1344,650,123,69,-102
1338,666,123,69,-102
1338,727,123,69,-102
1337,727,123,69,-102
1339,702,123,69,-102
1337,709,123,69,-103
1352,735,122,69,-103
1339,700,123,69,-103
1339,721,123,69,-102
1336,758,123,69,-102
1336,723,123,69,-102
1339,757,123,69,-103
1337,691,123,69,-102
1340,771,123,69,-103
1350,812,123,69,-102
1335,732,123,69,-103
1337,789,123,69,-103
1336,797,123,69,-103
1336,792,123,69,-102
1338,684,123,69,-103
1345,705,123,69,-103
1338,715,123,69,-103
1356,696,123,69,-104
1336,690,123,69,-103
1337,668,123,69,-104
1337,704,122,69,-104
1344,766,123,69,-104
1337,775,123,69,-104
1337,811,123,69,-104
1339,809,123,69,-103
1345,786,123,69,-104
1340,807,123,69,-104
1342,804,123,69,-104
1345,784,123,69,-104
1336,799,123,69,-104
1337,843,123,69,-104
1335,881,123,69,-104
1337,844,123,69,-104
1400,888,123,69,-104
1342,887,123,69,-104
1336,874,123,69,-104
1337,848,123,69,-105
1338,863,123,69,-104
1334,861,123,69,-104
1335,899,123,69,-104
1339,890,123,69,-104
1345,893,123,69,-104
1338,856,123,69,-104
1338,857,123,69,-104
1337,867,123,69,-104
1335,869,123,69,-104
1340,866,123,69,-104
1342,886,123,69,-104
1336,863,123,69,-104
1354,857,123,69,-104
1335,816,123,69,-104
1336,832,123,69,-104
1338,824,123,70,-104
1345,830,123,70,-104
1335,818,123,70,-104
1337,828,123,70,-104
1336,834,123,70,-103
1345,795,123,69,-102
1338,844,123,69,-102
1336,877,123,69,-103
1344,864,123,69,-103
1335,870,123,69,-104
1339,838,123,69,-104
1334,835,123,69,-103
1335,830,123,70,-102
1348,828,123,69,-101
1335,830,123,69,-104
1343,840,123,69,-104
1336,820,123,69,-104
1338,769,123,69,-104
1336,783,123,69,-104
1336,808,123,69,-104
1337,816,123,69,-104
1365,797,123,69,-104
1337,796,123,70,-104
1334,800,123,70,-104
1337,781,123,70,-104
1337,769,123,70,-104
1337,758,123,70,-103
1335,745,123,70,-104
1345,711,123,69,-103
1342,721,123,69,-102
1337,744,123,69,-102
1337,739,123,69,-102
1340,739,123,69,-102
1337,695,123,69,-103
1343,675,123,69,-103
1337,666,123,69,-104
1339,706,123,69,-104
1358,694,123,69,-104
1336,683,123,69,-104
1337,670,123,69,-104
1338,645,123,69,-104
1342,636,123,69,-104
1339,621,123,69,-104
1335,607,123,69,-105
1338,628,123,69,-105
1344,612,123,69,-105
1338,620,123,69,-105
1342,618,122,69,-104
1338,594,123,69,-105
1334,588,122,69,-105
1341,568,123,69,-105
1340,547,123,69,-104
1337,511,123,69,-105
1389,472,123,69,-104
1339,439,123,69,-105
1343,487,123,69,-104
1337,515,123,69,-104
1338,482,123,70,-105
1339,461,123,69,-105
1341,447,123,70,-104
1343,494,123,70,-105
1368,506,123,70,-105
1336,509,122,70,-104
1341,489,123,70,-104
1338,453,123,70,-104
1337,471,123,70,-105
1346,471,123,70,-105
1337,400,123,70,-105
1339,416,123,70,-104
1349,407,123,70,-105
1338,403,123,70,-105
1336,380,123,70,-105
1336,331,123,70,-105
1342,330,123,70,-104
1339,327,123,70,-104
1337,340,123,70,-104
1340,323,123,70,-105
1358,322,123,70,-105
1337,313,123,70,-104
1345,326,123,70,-105
1337,287,123,70,-105
1335,286,123,70,-105
1337,285,123,70,-105
1340,288,123,70,-104
1337,283,123,70,-105
1343,260,123,70,-105
1345,235,123,70,-105
1340,201,123,70,-104
1340,202,123,70,-105
1338,201,123,70,-104
1338,197,123,70,-105
1337,197,123,69,-104
1345,194,123,69,-102
1357,194,123,69,-102
1338,202,123,69,-102
1337,133,123,69,-103
1338,95,123,69,-102
1337,60,123,69,-102
1338,54,123,69,-103
1345,49,123,69,-103
1340,42,123,69,-102
1345,39,123,69,-103
1340,40,123,69,-103
1334,41,123,69,-103
1338,40,123,69,-104
1345,39,123,69,-103
1343,40,123,69,-103
1340,40,123,69,-104
1340,40,123,69,-104
1355,41,123,69,-104
1335,40,123,69,-104
1340,38,123,69,-105
1346,40,123,69,-104
1342,42,123,69,-104
1338,43,123,70,-102
1337,40,123,70,-104
1339,38,122,69,-105
1347,40,123,69,-105
1343,41,123,69,-104
1338,37,123,69,-104
1339,38,123,69,-105
1338,39,123,69,-105
1338,40,123,69,-105
1336,42,123,69,-105
1338,40,123,69,-105
1353,39,123,69,-105
1337,40,123,69,-105
1339,40,123,69,-105
1336,41,123,69,-104
1340,39,123,69,-104
1337,40,123,69,-105
1345,39,123,69,-104
1336,43,123,69,-104
1398,39,123,69,-104
1336,39,123,69,-105
1341,39,123,69,-105
1337,39,123,69,-105
1339,42,123,69,-104
1343,39,123,70,-104
1340,38,123,69,-104
1338,39,123,69,-105
1369,41,123,69,-104
1340,42,123,70,-103
1342,39,123,69,-104
1345,39,123,69,-105
1336,41,123,69,-105
1339,43,123,69,-104
1340,40,123,70,-104
1336,39,123,70,-104
1356,39,123,69,-105
1343,40,123,69,-104
1340,43,123,69,-104
1338,39,123,70,-104
1337,39,123,69,-105
1337,39,123,69,-105
1339,40,123,69,-104
1339,42,123,69,-105
1350,38,123,69,-104
1339,39,123,69,-104
1338,39,123,69,-104
1340,40,123,69,-105
1338,43,123,69,-104
1339,39,123,69,-104
1347,39,123,69,-104
1339,41,123,69,-104
1356,49,123,70,-102
1338,42,123,70,-104
1337,38,123,69,-104
1340,39,123,69,-104
1339,40,123,69,-104
1343,39,123,70,-103
1339,39,123,69,-104
1338,39,123,69,-104
1345,40,123,69,-104
1336,44,123,69,-104
1340,39,123,69,-104
1346,38,123,69,-104
1337,40,123,69,-104
1339,42,123,69,-104
1336,40,123,70,-103
1338,39,123,69,-103
1349,39,123,69,-104
1341,40,123,69,-104
1343,41,123,69,-104
1337,38,123,69,-103
1339,39,123,69,-104
1337,40,123,69,-104
1338,41,123,69,-104
1338,41,123,69,-104
1362,39,123,69,-104
1338,39,123,69,-104
1339,40,123,69,-104
1337,42,123,69,-104
1337,39,123,69,-103
1339,39,123,69,-104
1336,39,123,69,-104
1345,42,123,69,-104
1345,40,123,69,-103
1339,39,123,69,-103
1338,39,123,69,-104
1339,40,123,69,-104
1335,42,123,69,-104
1343,41,123,69,-103
1338,40,123,69,-103
1341,41,123,69,-103
1384,40,123,70,-102
1339,41,123,69,-102
1337,40,123,69,-101
1337,39,123,69,-102
1345,40,123,69,-102
1340,41,123,69,-101
1341,39,122,69,-102
1339,39,123,69,-103
1342,42,123,69,-103
1338,40,123,69,-103
1348,39,122,69,-102
1339,43,123,70,-100
1336,45,123,70,-102
1339,39,123,69,-102
1339,41,123,69,-101
1339,39,123,69,-102
1382,40,123,69,-102
1340,40,123,69,-103
1340,42,123,69,-104
1337,39,123,69,-104
1339,40,123,70,-104
1336,39,123,70,-105
1340,40,123,69,-104
1342,39,123,70,-104
1346,40,123,70,-104
1336,39,123,70,-105
1339,40,123,70,-104
1339,41,123,69,-104
1339,39,123,69,-104
1342,40,123,70,-104
1338,40,123,70,-104
1339,40,123,70,-104
1348,40,123,70,-104
1339,41,123,70,-104
1339,39,123,70,-105
1339,39,123,69,-104
1342,40,123,69,-104
1338,40,123,69,-104
1338,40,123,70,-104
1336,40,123,70,-104
1358,41,123,70,-104
1339,39,123,70,-104
1345,41,123,70,-104
1338,40,122,69,-104
1337,40,123,69,-104
1338,41,123,69,-104
1340,39,123,70,-104
1338,39,122,70,-105
1344,39,123,69,-104
1346,40,123,69,-104
1340,39,123,69,-104
1337,38,123,69,-105
1339,40,122,69,-105
1336,42,123,69,-104
1338,40,123,69,-104
1344,39,123,69,-104
1360,39,122,69,-104
1338,41,123,69,-104
