Time,Channel 1,Channel 2,Channel 3,Channel 4
40932,39,123,70,-99
1935,38,123,70,-100
1344,39,123,69,-100
1349,41,123,70,-100
1351,39,123,69,-100
1339,38,123,69,-100
1338,40,123,69,-99
1342,38,123,69,-100
1338,39,123,69,-100
1341,40,123,69,-100
1341,39,123,69,-100
1336,38,123,69,-100
1392,39,123,69,-100
1345,39,123,69,-99
1340,38,123,69,-100
1337,39,123,69,-100
1339,40,123,69,-99
1339,38,123,69,-100
1340,38,123,69,-100
1345,39,123,69,-100
1344,38,123,69,-99
1340,38,123,69,-99
1338,39,123,69,-100
1338,42,123,69,-99
1337,39,123,69,-99
1342,38,123,69,-100
1345,40,123,69,-100
1340,39,123,69,-99
1400,38,123,69,-99
1339,38,123,69,-100
1338,40,123,69,-99
1338,40,123,69,-98
1347,38,123,69,-99
1338,39,123,69,-99
1340,40,123,69,-99
1338,40,123,69,-97
1345,39,123,69,-98
1337,40,123,69,-99
1345,38,123,69,-100
1339,38,123,69,-99
1336,39,123,70,-100
1340,39,123,70,-100
1339,39,123,70,-99
1338,39,123,69,-100
1347,39,123,70,-100
1345,39,123,69,-100
1342,41,123,69,-100
1336,38,123,69,-99
1339,38,123,69,-100
1340,39,123,69,-100
1339,42,123,69,-99
1346,38,123,69,-99
1357,38,123,69,-100
1338,42,123,69,-99
1340,39,123,69,-99
1339,39,123,69,-100
1337,39,123,69,-100
1336,41,123,69,-99
1345,38,123,69,-99
1338,39,123,69,-99
1345,40,123,69,-100
1338,40,123,69,-99
1341,37,123,69,-99
1338,39,123,69,-99
1347,41,123,69,-100
1343,39,123,69,-99
1339,38,123,69,-99
1338,39,123,69,-99
1358,40,123,69,-98
1339,39,123,69,-97
1342,38,123,69,-98
1344,39,123,69,-99
1336,39,123,70,-100
1340,40,123,70,-100
1336,39,123,69,-100
1338,38,123,70,-100
1409,38,123,69,-100
1343,41,123,69,-100
1338,39,123,69,-99
1339,38,123,69,-100
1338,39,123,69,-100
1339,40,123,69,-100
1337,41,123,69,-99
1346,37,123,69,-100
1360,39,123,69,-100
1340,41,123,69,-100
1339,38,123,69,-99
1339,38,123,69,-100
1339,39,123,69,-100
1339,41,123,69,-99
1346,37,123,69,-99
1339,38,123,69,-100
1346,41,123,69,-99
1337,40,123,69,-99
1339,38,123,69,-98
1340,38,123,69,-99
1345,39,123,70,-100
1338,40,123,70,-100
1340,39,123,70,-99
1339,38,123,70,-100
1346,38,123,69,-100
1339,40,123,69,-100
1342,40,123,69,-100
1345,38,123,70,-100
1334,39,123,69,-99
1338,41,123,69,-100
1338,38,123,69,-99
1338,38,123,69,-100
1386,39,123,69,-100
1344,38,123,69,-99
1340,38,123,69,-100
1338,40,123,69,-100
1337,41,123,69,-99
1337,38,123,69,-99
1340,38,123,69,-99
1332,39,123,69,-99
1349,40,123,69,-99
1339,38,123,69,-99
1339,40,123,69,-98
1336,39,123,69,-99
1340,39,123,69,-97
1340,38,123,69,-98
1345,39,123,69,-98
1340,39,123,69,-100
1360,39,123,69,-99
1337,39,123,70,-99
1338,39,123,70,-100
1338,39,123,70,-100
1337,39,123,69,-99
1344,39,123,69,-100
1340,38,123,70,-100
1336,39,123,69,-100
1346,41,123,69,-100
1338,39,123,69,-100
1338,38,123,69,-100
1345,41,123,69,-100
1337,39,123,69,-99
1339,37,123,69,-100
1339,39,123,69,-100
1342,40,123,69,-100
1356,41,123,69,-98
1339,37,123,69,-99
1347,40,123,69,-99
1337,40,123,69,-99
1339,39,123,69,-97
1341,38,123,69,-97
1339,39,123,70,-100
1337,39,123,70,-100
1352,39,123,70,-99
1338,39,123,70,-100
1342,39,123,70,-100
1339,40,123,69,-100
1339,39,123,69,-99
1340,40,123,69,-98
1338,38,123,69,-98
1346,39,123,69,-97
1365,39,123,69,-98
1338,40,123,69,-99
1341,39,123,69,-98
1339,38,123,69,-98
1335,39,123,69,-99
1344,39,123,69,-99
1338,38,123,69,-98
1339,38,123,69,-99
1357,40,123,69,-99
1339,40,123,69,-99
1338,38,123,69,-100
1346,38,123,69,-100
1340,41,123,69,-100
1338,39,123,69,-99
1339,37,123,69,-100
1338,38,123,69,-100
1344,41,123,69,-100
1338,39,123,69,-100
1346,38,123,69,-100
1340,40,123,69,-100
1343,40,123,69,-100
1339,38,123,69,-100
1338,39,123,69,-100
1338,40,123,69,-99
1392,38,123,70,-100
1340,39,123,70,-100
1339,40,123,70,-100
1340,39,123,70,-99
1338,38,123,70,-100
1339,38,123,70,-100
1337,40,123,70,-99
1345,40,123,69,-99
1346,39,123,70,-98
1335,40,123,69,-97
1339,39,123,69,-97
1337,40,123,69,-99
1340,39,123,69,-98
1342,38,123,69,-98
1339,40,123,69,-98
1340,39,123,69,-99
1358,39,123,69,-98
1340,38,123,69,-98
1339,40,123,69,-99
1338,39,123,69,-98
1343,38,123,69,-98
1338,39,123,69,-99
1336,39,123,69,-99
1339,40,123,69,-99
1345,38,123,69,-99
1340,39,123,69,-100
1345,40,123,69,-99
1339,38,123,69,-99
1338,39,123,69,-100
1340,42,123,69,-100
1338,38,123,69,-100
1338,37,123,69,-100
1347,39,123,69,-100
1347,38,123,69,-99
1341,38,123,69,-100
1340,38,123,69,-100
1339,42,123,69,-100
1339,38,123,69,-100
1339,38,123,69,-100
1345,41,123,69,-99
1356,39,123,69,-99
1338,38,123,69,-99
1339,39,123,69,-99
1339,40,123,69,-98
1338,39,123,69,-98
1344,39,123,69,-97
1337,41,123,69,-96
1341,38,123,69,-96
1343,38,123,69,-96
1338,40,123,69,-96
1341,40,123,69,-95
1336,39,123,70,-95
1344,40,123,69,-95
1337,40,123,69,-86
1341,40,123,69,-33
1338,38,123,69,-11
1376,39,123,69,-9
1340,40,123,69,33
1347,40,123,69,62
1338,40,123,69,98
1336,40,123,69,206
1337,40,123,69,255
1337,40,123,69,272
1334,40,123,69,299
1342,39,123,69,389
1343,39,123,70,450
1338,40,123,69,456
1338,40,123,69,477
1339,40,123,69,510
1336,40,123,69,536
1338,40,123,69,556
1349,40,123,69,555
1476,39,123,70,545
1339,40,123,69,553
1335,41,123,69,574
1338,41,123,70,533
1336,40,123,69,561
1344,41,123,69,560
1336,43,123,70,527
1336,39,123,70,506
1344,40,123,69,526
1337,40,123,69,503
1339,41,123,69,491
1339,40,123,69,497
1343,40,123,69,494
1339,40,123,69,478
1338,39,123,69,491
1334,40,123,69,500
1346,40,123,69,473
1349,41,123,70,512
1346,40,123,69,504
1338,40,123,69,546
1337,41,123,69,574
1338,40,123,70,546
1338,40,123,69,551
1339,41,123,69,559
1392,44,123,70,545
1338,157,123,69,550
