Time,Channel 1,Channel 2,Channel 3,Channel 4
1338,38,198,70,122
1338,38,197,70,121
1337,38,198,69,143
1337,38,198,69,142
1337,38,198,69,148
1343,38,198,69,155
1345,38,198,69,155
1336,38,198,69,159
1336,38,197,69,159
1333,38,198,69,165
1337,38,198,69,174
1338,38,198,70,182
1343,38,198,69,182
1333,38,198,69,184
1343,38,198,69,182
1338,38,198,69,185
1337,38,198,69,187
1339,38,198,69,183
1346,38,198,69,181
1337,38,198,69,180
1338,37,198,69,187
1337,38,198,69,195
1354,38,198,69,202
1337,37,198,69,202
1337,38,198,69,210
1343,37,198,69,216
1334,38,197,69,218
1337,38,198,69,220
1334,38,197,69,226
1337,38,198,69,228
1345,38,198,70,241
1341,37,197,69,265
1339,38,198,69,264
1336,38,198,69,263
1335,38,197,70,271
1337,38,198,69,284
1335,38,197,69,290
1334,38,198,69,287
1382,38,197,69,284
1336,38,198,69,280
1335,38,197,70,276
1334,38,198,69,277
1337,38,198,69,280
1336,38,197,70,289
1343,38,198,69,295
1336,38,198,69,293
1340,38,198,69,298
1335,37,198,69,301
1339,38,198,69,319
1336,38,198,70,321
1337,38,198,69,320
1342,38,198,69,316
1337,38,197,70,318
1342,38,198,70,309
1357,38,198,69,313
1336,38,198,69,307
1337,38,197,70,317
1345,38,198,69,319
1336,38,198,69,317
1337,38,198,69,313
1337,37,198,70,319
1336,37,198,69,322
1342,38,198,69,323
1335,38,198,69,322
1341,38,198,69,319
1335,38,198,69,319
1336,37,197,70,322
1337,38,198,69,317
1337,38,197,70,328
1336,38,198,69,335
1342,38,197,69,334
1346,38,198,69,341
1341,38,197,70,343
1337,38,198,69,342
1338,38,197,70,342
1336,38,198,69,343
1335,38,197,69,346
1341,38,198,69,355
1382,37,198,70,354
1336,38,198,69,351
1335,38,198,70,351
1295,38,198,69,358
1335,38,198,69,357
1336,38,198,69,363
1339,37,198,70,366
1339,38,197,70,364
1342,38,198,69,361
1331,38,198,70,356
1337,38,198,69,367
1336,38,197,69,368
1346,38,198,69,368
1335,38,198,70,365
1335,38,198,69,364
1334,38,198,69,358
1356,38,198,69,362
1335,37,198,69,375
1339,38,197,69,376
1339,38,198,70,379
1335,37,198,69,376
1334,38,198,69,374
1338,38,198,69,375
1337,37,197,69,376
1344,38,198,69,376
1345,38,198,70,377
1336,38,198,69,369
1336,38,198,70,371
1339,38,198,69,374
1336,38,197,69,374
1338,38,198,69,382
1339,38,198,69,384
1362,38,197,70,383
1336,38,198,69,383
1339,38,197,69,380
1336,37,197,69,373
1339,38,198,70,377
1336,38,198,70,379
1334,38,198,70,379
1343,37,198,69,383
1369,38,198,69,381
1337,38,198,70,380
1338,38,198,69,381
1338,38,198,69,376
1336,38,197,69,378
1341,37,198,69,378
1336,38,198,69,377
1336,38,197,69,375
1342,37,198,69,374
1341,38,198,69,370
1339,38,198,69,370
1344,38,198,69,370
1338,38,198,69,374
1335,38,198,69,375
1337,38,197,70,373
1337,38,198,69,376
1356,38,198,69,375
1336,38,198,70,374
1343,38,198,69,378
1337,38,197,70,381
1336,37,198,70,382
1336,38,198,69,385
1338,38,198,69,382
1337,38,197,69,379
1344,38,198,69,386
1344,38,197,69,384
1336,38,198,69,383
1338,38,198,69,379
1340,38,198,69,375
1334,38,198,69,375
1335,38,198,70,373
1345,37,198,69,373
1382,38,198,69,378
1337,38,197,69,383
1337,38,198,69,386
1340,38,198,69,386
1338,38,198,70,380
1342,38,198,70,378
1336,38,198,70,379
1338,38,198,70,379
1342,38,197,69,379
1336,38,198,69,382
1338,38,198,69,380
1339,38,198,70,379
1343,38,198,69,382
1335,38,198,69,380
1336,38,198,69,381
1342,38,198,69,383
1355,38,198,69,379
1335,38,197,70,373
1343,38,198,69,376
1336,38,198,69,372
1337,38,198,69,372
1337,38,197,69,375
1337,37,198,69,370
1337,38,197,70,371
1343,38,198,69,372
1344,38,198,69,365
1336,38,198,69,363
1338,38,197,69,365
1338,37,198,69,366
1334,38,198,70,367
1336,38,198,69,366
1338,37,198,69,368
1349,38,198,69,364
1339,38,197,69,362
1335,37,198,69,357
1336,38,198,69,355
1336,38,198,69,355
1334,37,198,69,356
1343,38,198,69,360
1334,38,197,70,360
1355,37,198,69,359
1337,38,198,69,363
1338,38,198,69,365
1335,37,197,69,364
1338,38,198,69,368
1343,37,197,69,367
1337,38,198,69,367
1335,38,198,69,370
1367,38,198,70,371
1335,37,198,69,371
1338,38,198,69,376
1344,38,197,69,373
1341,38,198,69,372
1337,38,198,69,378
1335,37,198,69,375
1338,38,198,69,374
1358,38,198,70,374
1336,38,198,70,369
1343,38,198,69,366
1335,38,198,69,366
1334,37,198,69,361
1332,38,198,69,361
1339,38,198,69,360
1337,37,198,69,355
1346,38,198,69,361
1336,38,197,70,355
1336,38,198,69,356
1337,38,198,69,355
1336,38,197,70,352
1337,38,198,70,352
1336,38,198,69,354
1340,38,198,70,355
1383,38,197,69,356
1338,38,198,69,350
1336,38,198,70,345
1336,38,198,69,341
1334,37,197,69,324
1343,38,198,69,313
1334,37,197,69,313
1337,38,198,69,315
1343,38,198,69,315
1336,37,197,69,310
1336,38,198,69,311
1337,38,198,69,311
1341,37,197,69,305
1336,38,197,69,300
1336,37,198,70,298
1335,38,198,69,298
1346,38,198,70,293
1339,38,198,69,293
1342,38,198,69,291
1335,38,198,69,289
1334,38,198,70,284
1337,38,197,70,284
1335,38,198,69,281
1335,38,198,69,285
1356,38,198,69,286
1344,38,197,69,285
1335,38,198,69,284
1335,37,197,70,294
1336,37,197,69,292
1338,38,198,69,291
1337,38,198,69,287
1337,37,198,69,279
1349,38,197,69,277
1340,37,198,70,272
1336,38,197,69,274
1338,38,198,69,272
1338,38,198,70,270
1337,38,198,69,264
1343,38,197,70,265
1337,37,198,70,258
1353,38,198,69,258
1337,38,198,69,263
1335,38,198,69,261
1338,38,198,69,254
1338,38,198,69,229
1344,38,197,69,230
1337,38,198,69,229
1338,38,197,69,225
1342,38,198,69,230
1338,37,197,69,229
1338,38,198,69,229
1343,37,198,69,232
1337,37,198,69,227
1334,38,198,69,227
1338,37,198,69,225
1337,37,197,69,228
1377,38,198,70,223
1336,38,197,69,221
1342,38,198,69,223
1336,38,198,69,224
1339,38,197,70,223
1337,38,198,70,219
1335,38,198,70,218
1337,38,197,70,216
1350,38,198,69,228
1336,38,198,70,223
1333,38,198,69,227
1335,38,198,69,227
1337,37,198,69,228
1336,38,198,70,230
1336,38,197,69,224
1338,38,198,69,220
1345,38,198,69,220
1341,38,198,69,216
1333,37,198,69,215
1334,38,198,69,215
1337,38,197,69,212
1343,38,198,69,207
1338,38,198,69,205
1337,37,198,69,209
1471,38,197,69,204
1337,38,198,69,208
1336,37,197,69,207
1343,38,197,69,209
1337,37,198,69,208
1338,37,197,69,205
1337,38,197,69,202
1335,38,198,69,200
1345,38,198,69,202
1336,38,198,69,196
1340,38,198,69,184
1337,38,197,70,173
1342,38,198,70,168
1336,38,198,69,158
1336,37,198,70,148
1337,38,198,70,147
1363,38,198,70,137
1338,38,198,70,135
1337,37,197,69,134
1338,38,197,69,133
1339,38,198,69,129
1339,38,197,69,126
1337,37,197,69,117
1343,38,198,69,104
1345,38,197,69,101
1337,37,198,69,102
1339,38,197,69,97
1338,38,198,69,101
1337,37,197,69,101
1343,38,198,69,97
1338,37,197,70,95
1341,37,197,69,94
1357,38,197,69,90
1337,38,198,69,86
1340,37,197,69,81
1338,38,198,69,74
1340,37,198,70,66
1336,37,197,70,58
1338,38,197,69,56
1337,38,198,70,61
1345,37,197,70,60
1339,38,198,69,56
1342,38,198,69,57
1336,38,197,69,47
1339,37,197,69,33
1340,38,197,69,18
1340,38,197,70,7
1341,37,216,69,6
1345,37,219,69,2
1346,37,219,69,-11
1340,37,220,69,-12
1338,38,216,69,-26
1336,38,220,70,-33
1337,37,215,69,-38
1334,38,222,69,-41
1343,38,225,70,-51
1372,37,222,70,-50
1336,38,229,69,-48
1337,38,233,69,-45
1338,38,235,70,-47
1339,38,241,69,-48
1339,38,243,69,-51
1341,38,248,69,-54
1339,37,259,69,-65
1345,38,263,69,-66
1333,38,266,69,-70
1337,37,268,69,-67
1340,38,273,86,-69
1347,37,284,87,-73
1339,38,297,89,-72
1337,38,298,89,-72
1342,37,298,88,-74
1385,38,329,89,-74
1338,38,333,90,-96
1338,37,340,91,-105
1342,38,352,91,-104
1338,38,356,91,-104
1340,38,366,92,-104
1338,38,366,92,-104
1336,38,365,92,-104
1346,38,373,91,-103
1344,38,369,90,-104
1336,38,379,90,-103
1335,37,395,90,-104
1336,38,406,91,-104
1338,38,414,90,-104
1336,38,426,90,-104
1336,38,432,90,-104
1364,37,440,90,-104
1336,38,453,92,-104
1335,38,458,92,-104
1337,38,462,91,-104
1342,37,462,91,-104
1336,38,461,93,-104
1344,38,469,94,-104
1337,38,475,95,-102
1342,38,477,96,-103
1338,38,498,95,-103
1338,38,508,95,-103
1336,38,508,96,-104
1337,38,519,97,-104
1344,38,518,98,-104
1339,38,534,97,-104
1338,37,558,97,-104
1343,37,566,97,-105
1344,38,567,97,-104
1337,38,579,96,-104
1344,38,590,96,-104
1337,38,588,99,-104
1337,38,600,98,-104
1338,38,598,98,-103
1338,38,612,99,-104
1357,37,607,100,-104
1333,38,609,99,-103
1342,38,619,99,-104
1340,38,622,100,-103
1339,37,625,101,-104
1337,38,624,102,-104
1340,38,635,101,-103
1338,37,645,102,-104
1349,38,677,100,-104
1340,37,676,99,-104
1336,38,681,98,-105
1337,38,672,101,-104
1342,37,679,102,-104
1340,37,692,102,-105
1337,38,703,102,-104
1340,37,703,104,-104
1358,38,702,102,-104
1337,37,731,102,-103
1342,38,733,102,-104
1337,38,711,101,-103
1339,37,720,101,-104
1345,38,706,101,-104
1337,37,718,100,-104
1338,38,721,99,-105
1366,38,718,100,-104
1335,37,720,101,-104
1340,38,726,103,-105
1339,38,765,104,-103
1344,38,785,104,-105
1339,38,777,103,-103
1339,37,790,101,-103
1342,38,797,101,-104
1386,38,794,100,-103
1339,37,811,101,-104
1344,38,810,102,-104
1336,37,808,103,-104
1342,38,831,104,-104
1337,38,842,104,-103
1338,37,844,102,-104
1340,38,871,103,-104
1351,38,880,103,-104
1338,38,897,103,-105
1336,38,880,103,-103
1338,37,908,105,-104
1337,38,914,103,-105
1339,38,913,103,-104
