Time,Channel 1,Channel 2,Channel 3,Channel 4
1343,37,198,69,-104
1346,37,197,70,-105
1338,38,197,70,-105
1338,37,197,69,-104
1338,38,197,69,-103
1339,38,197,69,-104
1336,37,198,69,-105
1344,37,198,69,-104
1338,37,197,69,-105
1344,38,198,69,-105
1343,37,197,69,-105
1336,38,197,69,-105
1337,38,198,69,-105
1342,37,198,69,-105
1338,37,197,69,-105
1339,38,198,70,-105
1337,38,197,70,-104
1357,38,198,69,-103
1337,38,198,69,-104
1336,37,198,69,-105
1345,37,197,69,-104
1337,38,197,69,-105
1337,38,197,69,-105
1338,37,197,69,-105
1339,38,198,69,-105
1344,37,197,69,-105
1344,37,197,69,-105
1339,37,198,70,-105
1343,38,197,69,-105
1336,38,198,70,-105
1339,37,198,70,-105
1339,38,197,70,-104
1338,38,197,69,-104
1422,37,198,69,-103
1340,38,198,69,-105
1336,38,197,69,-104
1337,37,198,69,-105
1339,38,197,69,-105
1337,38,198,69,-105
1343,38,197,69,-106
1338,38,198,69,-105
1346,37,197,70,-105
1334,38,198,70,-105
1336,38,197,69,-104
1337,38,198,69,-103
1347,37,197,69,-104
1335,38,197,69,-105
1335,37,198,69,-104
1339,38,197,69,-105
1357,38,198,69,-105
1339,37,197,69,-106
1336,38,198,69,-104
1344,37,197,69,-106
1339,38,198,70,-104
1339,38,197,70,-105
1337,38,197,69,-105
1338,37,198,69,-104
1343,38,197,69,-104
1347,38,198,69,-105
1341,38,197,69,-105
1336,37,198,69,-105
1338,37,197,69,-105
1336,38,198,70,-105
1340,37,197,70,-105
1337,38,197,70,-104
1350,38,198,69,-104
1343,37,197,69,-104
1337,37,198,69,-105
1336,38,197,69,-105
1339,37,197,69,-105
1339,37,197,69,-105
1345,38,198,69,-105
1337,38,197,69,-105
1382,38,197,69,-105
1339,37,197,70,-106
1338,38,197,69,-104
1335,38,198,69,-104
1339,38,197,69,-104
1343,38,198,69,-105
1338,38,197,69,-104
1339,37,198,69,-104
1346,38,197,69,-105
1337,38,197,69,-105
1338,37,197,69,-106
1343,37,197,69,-105
1339,37,198,70,-105
1339,38,197,70,-105
1338,38,198,70,-105
1337,38,197,69,-103
1360,37,198,69,-104
1335,38,197,69,-104
1344,37,197,69,-105
1339,38,197,69,-105
1337,37,198,69,-104
1337,37,197,69,-106
1339,38,197,70,-105
1338,37,198,69,-105
1351,38,198,69,-105
1339,37,197,70,-105
1337,38,198,70,-105
1339,37,197,69,-102
1337,38,198,69,-104
1340,38,197,69,-105
1339,37,198,69,-105
1344,38,197,69,-105
1356,38,198,69,-105
1340,38,198,69,-105
1339,37,198,69,-105
1336,37,197,69,-105
1340,38,198,70,-105
1343,38,197,70,-105
1338,38,198,69,-104
1338,38,197,69,-103
1369,38,198,69,-104
1336,37,197,69,-105
1336,38,197,69,-104
1345,37,198,69,-105
1340,38,197,69,-105
1338,37,198,70,-105
1337,37,197,69,-105
1337,38,197,70,-105
1345,37,198,70,-106
1342,38,197,69,-103
1342,38,197,69,-104
1337,38,198,69,-103
1338,37,197,69,-104
1338,38,198,69,-105
1337,37,197,69,-104
1338,37,198,69,-105
1364,38,197,69,-104
1337,37,198,69,-105
1338,38,197,69,-105
1337,37,198,69,-105
1339,37,197,69,-106
1340,38,198,70,-105
1336,37,197,70,-105
1344,37,197,70,-104
1346,38,198,70,-105
1338,38,197,69,-103
1339,37,198,69,-103
1336,38,197,69,-104
1342,38,198,69,-105
1343,37,197,69,-105
1337,37,198,69,-105
1338,37,197,69,-105
1402,38,197,69,-105
1337,37,197,69,-105
1336,38,198,69,-105
1345,38,197,70,-105
1336,37,197,70,-105
1339,37,197,70,-105
1337,37,198,70,-105
1337,38,197,69,-104
1346,37,197,69,-104
1337,38,197,69,-104
1343,37,197,69,-104
1340,38,198,69,-105
1335,38,197,69,-104
1338,37,198,69,-105
1343,38,197,69,-105
1339,37,198,69,-106
1365,37,197,69,-105
1338,38,197,70,-105
1338,37,197,70,-105
1340,37,197,69,-104
1337,38,198,69,-104
1336,38,197,69,-104
1338,37,198,69,-105
1341,38,197,69,-104
1344,37,197,69,-105
1339,38,197,69,-105
1336,37,198,69,-104
1336,37,198,69,-105
1336,38,197,70,-105
1345,38,197,70,-105
1335,38,197,70,-105
1340,38,197,70,-105
1345,37,197,70,-106
1341,38,197,69,-104
1337,38,198,69,-103
1338,38,197,69,-103
1344,38,198,69,-105
1336,38,198,69,-105
1339,37,198,69,-105
1336,37,197,69,-105
1354,38,197,69,-105
1338,37,197,69,-106
1345,37,197,69,-105
1338,37,198,69,-105
1336,38,198,69,-106
1339,38,198,70,-105
1338,38,197,70,-105
1339,38,198,69,-105
1368,37,197,69,-104
1339,38,197,70,-104
1338,37,197,69,-104
1336,37,197,69,-105
1336,38,198,69,-105
1338,37,197,69,-104
1339,37,198,69,-104
1344,38,197,69,-105
1355,37,198,69,-105
1338,38,197,69,-105
1337,38,198,70,-105
1338,37,197,70,-105
1336,38,197,69,-104
1335,38,198,69,-104
1344,37,197,69,-103
1338,38,197,69,-105
1345,38,197,69,-104
1337,37,198,69,-105
1339,37,197,69,-105
1336,38,197,69,-105
1345,37,198,69,-106
1337,38,198,69,-105
1341,37,197,69,-106
1337,38,198,69,-105
1384,38,197,70,-105
1335,37,197,70,-105
1336,38,197,69,-105
1345,37,197,69,-103
1337,37,197,69,-104
1340,37,197,69,-105
1338,38,198,69,-105
1336,37,197,69,-104
1345,37,197,69,-105
1342,37,198,69,-105
1335,37,198,69,-105
1337,38,197,69,-105
1341,37,198,70,-105
1337,38,198,69,-105
1339,37,197,69,-103
1334,38,197,69,-104
1347,37,197,69,-104
1340,38,198,69,-105
1338,38,197,69,-104
1339,37,197,69,-105
1336,38,198,69,-105
1338,38,197,69,-105
1345,38,197,69,-105
1337,38,197,70,-105
1360,37,198,70,-105
1338,38,197,70,-105
1336,37,197,69,-105
1337,38,197,69,-105
1336,37,197,69,-104
1346,38,197,69,-104
1338,37,197,69,-104
1338,37,198,69,-105
1345,38,197,69,-105
1338,37,198,69,-105
1337,38,197,69,-105
1344,37,198,70,-105
1342,38,197,70,-105
1338,38,197,69,-103
1339,38,197,69,-104
1339,37,197,69,-104
1353,37,198,69,-105
1344,38,198,69,-105
1338,37,198,69,-105
1336,38,197,69,-105
1335,37,198,69,-105
1337,38,197,70,-105
1335,38,197,70,-105
1339,38,197,70,-105
1350,37,197,69,-103
1338,38,198,69,-104
1339,38,197,69,-104
1337,37,198,69,-105
1339,38,197,69,-105
1338,38,197,69,-104
1347,37,197,69,-105
1337,38,198,69,-104
1374,37,197,69,-105
1338,38,197,69,-105
1337,37,198,69,-105
1338,37,197,69,-105
1337,38,197,70,-83
1345,37,197,70,-62
1339,38,198,69,-28
1337,38,197,69,-24
1345,38,198,69,-13
1337,37,198,69,10
1339,38,197,69,18
1344,38,197,69,32
1340,37,197,69,72
1340,38,198,69,68
1339,37,197,69,65
1338,37,198,69,68
1345,38,197,69,77
1341,37,198,69,70
1343,38,197,70,72
1338,37,198,70,70
1339,37,197,70,80
1335,38,197,69,93
1336,37,198,69,99
1336,38,197,69,97
1391,37,198,70,90
1338,37,197,69,89
1338,38,198,69,88
1338,37,197,70,89
1340,37,198,69,93
1340,38,197,69,96
1339,37,198,69,95
1343,38,197,69,105
1344,37,198,69,98
1336,37,197,69,98
1339,38,197,69,93
1336,37,197,70,97
1341,38,198,69,104
1344,37,198,70,100
1336,37,197,69,99
1336,37,198,69,99
1358,38,198,69,95
1338,37,197,69,101
1339,37,197,69,99
1344,38,198,70,98
1337,37,197,69,99
1341,38,198,69,104
1340,37,197,70,107
1340,37,197,69,105
1343,38,197,70,101
1339,37,198,69,94
1344,38,197,69,97
1337,38,198,70,97
1336,37,198,70,98
1338,38,198,70,95
1343,38,197,70,92
1339,38,198,69,90
1364,38,198,70,92
1338,37,197,69,92
1338,37,198,70,88
1341,38,198,71,90
1338,38,197,72,93
1338,37,197,71,93
1337,38,198,71,97
1340,37,197,72,92
1344,38,197,72,98
1338,37,197,71,111
1338,38,197,72,119
1336,38,197,72,108
1335,37,198,74,101
1343,38,197,74,90
1337,37,197,74,86
1336,37,198,78,85
1341,38,197,82,95
1338,37,198,84,93
1337,38,198,83,89
1338,38,198,85,92
1344,38,197,87,100
1337,38,198,88,110
1341,38,198,87,118
1337,38,198,87,118
1376,37,197,87,113
1336,38,197,87,104
1345,37,198,87,109
1339,38,197,88,102
1338,38,198,87,110
